10
2098 4039
1 1048 579318388
1048 869 21886842
869 454 476563556
454 838 171314703
838 1682 505459356
1682 2030 17379508
2030 750 901162258
750 1401 298183323
1401 2058 808995586
2058 1080 847644946
1080 1456 378144940
1456 538 162228716
538 499 423277428
499 1239 786235981
1239 746 203382392
746 1200 662901297
1200 494 38320935
494 999 976742926
999 1811 316456446
1811 865 828850253
865 384 117762928
384 541 16645048
541 445 10052649
445 649 139527607
649 1669 177117594
1669 1831 184028099
1831 1226 89607170
1226 876 63517072
876 1068 261764748
1068 857 820622185
857 1096 505188392
1096 1896 841083137
1896 319 842509028
319 760 834268302
760 1149 12397839
1149 1767 200484737
1767 317 851647810
317 582 766076452
582 1017 351184415
1017 1408 660643395
1408 1455 613721397
1455 1352 729329355
1352 534 675388465
534 829 889515179
829 2064 515565335
2064 1953 878770857
1953 1862 404932830
1862 708 406402625
708 171 708030137
171 1912 721389276
1912 539 87769231
539 213 825793065
213 996 590550678
996 1803 97821880
1803 470 965320672
470 700 767668272
700 1975 134366333
1975 1542 907444197
1542 1351 831185344
1351 224 396131082
224 290 580582735
290 646 188890089
646 204 237214218
204 1139 275608116
1139 1406 23158390
1406 1727 102128411
1727 543 328609208
543 194 874806200
194 432 868204863
432 1063 679793623
1063 431 387965948
431 1851 334442613
1851 62 409122977
62 283 63354412
283 298 223957792
298 227 777204666
227 1512 794641623
1512 1303 628890622
1303 1977 183607290
1977 72 355188113
72 1372 202796251
1372 35 271376521
35 533 180981177
533 888 793346929
888 417 221714755
417 196 998818204
196 645 561015200
645 1786 356081089
1786 343 758778754
343 815 244716897
815 903 752212171
903 15 191877842
15 203 433606986
203 1079 841942743
1079 2037 467485959
2037 1990 456765376
1990 739 944071154
739 511 796095167
511 147 184087929
147 917 812276017
917 1758 328405143
1758 685 424570231
685 718 146718629
718 1147 737528120
1147 971 340440997
971 916 223192775
916 1663 367249139
1663 452 135082619
452 1157 704599751
1157 751 550856430
751 1391 342787087
1391 1878 907396002
1878 1841 674749305
1841 552 523768264
552 1308 700742930
1308 1698 896464061
1698 2003 375102821
2003 1014 114274483
1014 1818 105061503
1818 1748 133881574
1748 1923 358991380
1923 297 709790028
297 134 325759417
134 1872 792598366
1872 1921 551732770
1921 1092 645761730
1092 1389 101880095
1389 1500 348320277
1500 330 294373250
330 1276 138484378
1276 1898 13112647
1898 1899 622778393
1899 2009 563054609
2009 1853 12347631
1853 1517 212822866
1517 1442 903495606
1442 776 235540406
776 1179 580072005
1179 2022 891094580
2022 189 940140158
189 941 130928434
941 421 233881666
421 1241 700052513
1241 1901 658194094
1901 989 610166284
989 477 253311797
477 1949 407174508
1949 1838 985269106
1838 522 367586280
522 2050 512236011
2050 1908 119150679
1908 23 579094015
23 2096 74542392
2096 1732 297426450
1732 1641 224208734
1641 500 626275162
500 200 943188180
200 1999 326088830
1999 315 974595439
315 1193 90077783
1193 233 464573208
233 707 987708087
707 879 712856176
879 1801 27627817
1801 1380 55717
1380 769 925679042
769 1569 783639777
1569 2029 88112477
2029 139 505751047
139 1826 674734356
1826 1643 880768989
1643 1002 489195835
1002 1701 761132376
1701 1543 580821502
1543 2002 147389928
2002 1879 371298660
1879 891 834133299
891 1225 407080790
1225 1131 209084119
1131 779 54235932
779 1711 919316801
1711 515 180751152
515 3 633329947
3 1470 993859193
1470 1130 478177603
1130 375 857538682
375 1724 472650708
1724 1233 273882136
1233 1593 36143865
1593 1800 299762501
1800 959 363959920
959 1564 353233427
1564 47 139986941
47 1778 76816095
1778 1905 233377598
1905 407 992559013
407 1201 855011492
1201 181 17017375
181 1541 80671489
1541 546 213278892
546 144 544268085
144 1557 813956833
1557 70 702474727
70 768 305400461
768 361 247294688
361 1076 702381010
1076 1067 529215475
1067 205 81427986
205 1119 109461799
1119 374 738299594
374 1252 988180273
1252 717 881294955
717 1738 919050746
1738 483 474026574
483 137 727670501
137 121 249744702
121 107 184081609
107 681 52837563
681 767 523626839
767 2059 220225474
2059 34 205116418
34 119 740103113
119 1492 573458901
1492 2087 345103359
2087 1475 669435562
1475 1425 806836500
1425 475 190178725
475 1634 524447053
1634 1895 676370229
1895 2035 123366568
2035 846 737725945
846 753 220638313
753 1180 937323401
1180 1246 292717026
1246 460 378555128
460 1329 184618088
1329 165 847614390
165 875 907770603
875 991 118562428
991 1336 809592543
1336 291 646070196
291 764 106742701
764 387 543403851
387 463 417637296
463 810 433285629
810 74 123590706
74 114 667381998
114 863 617367238
863 367 176428269
367 282 43525190
282 308 837592712
308 1472 381544687
1472 360 783628303
360 957 263567966
957 1345 579164400
1345 1761 453063865
1761 1854 922920820
1854 1856 769343125
1856 1318 830027272
1318 90 599291048
90 1060 892709693
1060 1869 420269571
1869 1359 672445716
1359 1029 830033094
1029 783 712986597
783 1433 51000843
1433 955 867167536
955 1445 413117340
1445 900 958771447
900 956 985729965
956 2001 222709882
2001 1810 457357996
1810 1242 944989020
1242 1765 766113734
1765 1326 874995292
1326 221 230791002
221 97 889704440
97 1721 394893644
1721 1961 848158240
1961 442 918649063
442 96 438418834
96 1347 538267305
1347 1780 152710103
1780 1163 222047137
1163 1552 801835271
1552 982 731874503
982 1388 527627356
1388 636 577272445
636 638 501217627
638 225 357654627
225 368 29079846
368 1199 246443673
1199 816 777924198
816 1570 701525562
1570 1377 76476766
1377 1098 343427148
1098 951 752526406
951 958 796160657
958 353 756544488
353 738 563814206
738 684 634406975
684 1310 831770725
1310 1889 873688556
1889 988 431912348
988 702 450400812
702 1439 601200202
1439 154 662703350
154 1402 192621605
1402 1384 996093846
1384 1043 510861589
1043 1072 111270667
1072 1650 434512679
1650 1109 49128893
1109 1794 263980770
1794 212 509076170
212 792 703480518
792 994 995855273
994 1468 36703525
1468 1590 133269316
1590 1494 349589253
1494 69 246874507
69 915 162349163
915 1409 596032926
1409 218 24798704
218 1415 863874725
1415 2067 525026047
2067 1314 220742207
1314 669 468917484
669 1463 173703057
1463 451 829803049
451 42 32731689
42 1126 808110032
1126 1307 661573773
1307 2 758936600
2 603 240022379
603 2021 111974584
2021 1865 360136801
1865 532 902725729
532 1340 157112543
1340 1383 208747000
1383 686 266103671
686 801 268383210
801 877 643259679
877 208 167748918
208 608 384880334
608 910 4852203
910 1756 723745790
1756 1595 233251960
1595 1213 41555728
1213 1195 857015107
1195 1779 582841213
1779 1202 288430235
1202 1343 19364269
1343 89 31390493
89 837 165745294
837 1611 883238994
1611 1656 408932894
1656 1574 239003855
1574 1516 204672832
1516 2034 582635951
2034 1042 68806903
1042 976 89920875
976 358 390745982
358 1880 582897031
1880 1612 848857475
1612 448 483284715
448 668 547387969
668 598 61510629
598 1085 238526797
1085 889 704500513
889 1931 270257629
1931 30 504630468
30 1022 972883723
1022 1124 913517309
1124 48 524895740
48 1323 210280411
1323 1972 918369512
1972 251 248641529
251 1759 443532371
1759 786 812441594
786 1244 105656635
1244 1679 26373584
1679 911 100871829
911 648 977537259
648 260 910280432
260 1594 119133477
1594 886 713292607
886 516 319213325
516 1847 358137332
1847 1245 917965439
1245 175 901849276
175 600 279460589
600 1639 7886313
1639 1031 145111611
1031 1030 862357620
1030 1821 856743789
1821 1354 628396326
1354 270 409745589
270 1082 918254418
1082 321 866923123
321 570 114246101
570 1055 41028401
1055 406 224069944
406 264 939646178
264 1657 954545710
1657 397 748965684
397 16 2442942
16 1460 725431575
1460 1271 850123567
1271 845 445975314
845 726 390389522
726 573 808296557
573 2018 324865252
2018 1154 343777705
1154 1548 785833815
1548 462 235145683
462 595 462911182
595 1161 351642775
1161 740 406875362
740 482 673564868
482 1483 269608213
1483 2046 161240991
2046 1185 953025458
1185 723 130010881
723 1258 306352602
1258 1850 815383077
1850 190 986754670
190 1636 787265282
1636 1579 77645019
1579 1559 757525441
1559 1910 506704758
1910 1136 44407474
1136 1973 798553842
1973 466 730774702
466 365 836570007
365 566 605615905
566 309 332256739
309 184 839012949
184 1843 183563833
1843 1722 34896659
1722 1720 284988262
1720 471 573953356
471 1381 843193216
1381 1182 609853514
1182 1432 917731061
1432 1775 481543385
1775 1471 697515551
1471 55 233158597
55 1615 833186160
1615 1361 104390912
1361 493 906723465
493 1747 102794373
1747 1941 265631903
1941 567 712265276
567 1259 85321608
1259 579 424500859
579 242 380164707
242 1493 72076277
1493 2017 211766140
2017 1430 457809726
1430 43 682118072
43 701 718470898
701 41 354733555
41 1936 333188268
1936 1970 301761953
1970 1882 191303561
1882 588 791320527
588 617 486535046
617 676 30316509
676 1622 974884361
1622 1016 521431706
1016 978 167821126
978 1003 401354070
1003 1959 364624921
1959 1684 630190994
1684 983 171601484
983 199 846168306
199 1913 327706545
1913 1630 257276435
1630 743 531870820
743 977 284613811
977 927 16516254
927 1103 487181547
1103 211 550245715
211 346 728781530
346 673 572503155
673 1117 974746574
1117 1526 108946236
1526 682 497095786
682 229 39029068
229 1979 419272317
1979 1298 31730211
1298 1687 610016320
1687 657 774005872
657 232 364918479
232 774 911778274
774 245 965309433
245 2016 8755360
2016 115 250829673
115 1848 848142296
1848 509 983639721
509 1300 772261379
1300 1073 868479776
1073 1462 237510144
1462 163 136886300
163 1071 498670770
1071 1835 261627982
1835 856 835570960
856 677 678893669
677 1808 518904418
1808 1222 219958133
1222 712 963507480
712 267 535420672
267 1689 707139680
1689 1830 366269548
1830 352 264202201
352 274 279642834
274 382 193532476
382 307 225664792
307 1235 776738620
1235 1496 232561544
1496 1015 644937109
1015 1371 808468832
1371 1955 842577864
1955 1725 418942980
1725 1346 25903664
1346 120 606872491
120 434 236768766
