10
9726 9725
1 8086 630096138
8086 3444 36765128
3444 567 283902576
567 3102 989177226
3102 2006 824025275
2006 7497 958804404
7497 2029 36138578
2029 3734 75406558
3734 5772 6715721
5772 9237 967894187
9237 5829 754827200
5829 9273 512913971
9273 7723 565839168
7723 3754 372001328
3754 7123 519622503
7123 9220 738900388
9220 7363 65941602
7363 6699 895158488
6699 2750 116559513
2750 8988 29807707
8988 8786 32214376
8786 3985 218333936
3985 7180 654870737
7180 6032 80646468
6032 7017 674762232
7017 7103 265692066
7103 2454 610611246
2454 9698 773013828
9698 7321 170689216
7321 726 841461809
726 4412 135805486
4412 5062 800785354
5062 619 878226937
619 3162 419708062
3162 8589 642478933
8589 1261 554768565
1261 3251 231028819
3251 2999 531133865
2999 6590 482691477
6590 8646 237744541
8646 546 499028051
546 5566 90035031
5566 7006 603174866
7006 4877 64867218
4877 3043 462036359
3043 8388 122797368
8388 4444 656283961
4444 7207 380494315
7207 3133 870472211
3133 1332 625359828
1332 2206 262818376
2206 2478 902686587
2478 113 843693764
113 5577 917689113
5577 1326 983333055
1326 1144 370972349
1144 4957 35897533
4957 8926 446460654
8926 5868 996502531
5868 8533 206586749
8533 6959 287922462
6959 1994 132308016
1994 31 7372102
31 6913 18665752
6913 4914 404532433
4914 1251 502367389
1251 4893 425950672
4893 8647 635561252
8647 2481 33501254
2481 2198 908642149
2198 7876 725822147
7876 8658 385045659
8658 5392 998677180
5392 9672 328997012
9672 9291 302429232
9291 4048 313229892
4048 7584 304310735
7584 4446 958713193
4446 4975 693724207
4975 4991 27299299
4991 6522 584073020
6522 487 956542584
487 8275 782502240
8275 1731 280283137
1731 8271 874231696
8271 3182 618351649
3182 5470 503771841
5470 5243 910129229
5243 1211 64812302
1211 2882 500274371
2882 7658 116715977
7658 7735 205251119
7735 9681 485098742
9681 8515 976604434
8515 9619 223916871
9619 6535 889631175
6535 2242 331488177
2242 6723 649867543
6723 6592 377708780
6592 7416 364989431
7416 5232 411026046
5232 3078 103530927
3078 6923 750035090
6923 2932 262219579
2932 4142 285044293
4142 2439 52464321
2439 9567 575449472
9567 9176 589355028
9176 934 863693868
934 5668 121690032
5668 516 469170681
516 5664 300283241
5664 279 78232615
279 6925 251672921
6925 4259 580566379
4259 4381 804980666
4381 3485 870024570
3485 8167 84338219
8167 5460 567626248
5460 9602 787353226
9602 3715 437128944
3715 4156 536858580
4156 8888 992604345
8888 2840 922227686
2840 9222 365979367
9222 3103 69037570
3103 5975 664375214
5975 7189 697467544
7189 8771 718905113
8771 919 42083994
919 897 62456974
897 6429 982447513
6429 3301 145614921
3301 9239 665008419
9239 747 97183446
747 1293 283175568
1293 9064 569989094
9064 8961 672632918
8961 4053 872530597
4053 803 286199316
803 9416 794322950
9416 3635 194217631
3635 3199 586482557
3199 6434 725071920
6434 1031 445890552
1031 4367 19565289
4367 4306 530052585
4306 1039 168431475
1039 1751 103903508
1751 2255 97678832
2255 3962 955784702
3962 4294 393548807
4294 34 487053766
34 2213 800905400
2213 9471 168292846
9471 7515 853033134
7515 7049 869942970
7049 5784 832668061
5784 3852 550500677
3852 3605 441364437
3605 3196 727268409
3196 24 465474006
24 6088 423811949
6088 8831 725399684
8831 6471 982998779
6471 3289 520995395
3289 6577 8575251
6577 6165 405504226
6165 7197 46144666
7197 6150 733622202
6150 6475 691703542
6475 7569 692983971
7569 3747 927839834
3747 8071 278186099
8071 6176 418055890
6176 3720 226246739
3720 752 297751388
752 3907 800624829
3907 1482 394678215
1482 6110 254171251
6110 5630 750820015
5630 6676 202979270
6676 4901 500236412
4901 6428 237873781
6428 4074 3884669
4074 1538 668529258
1538 6079 90906914
6079 3668 726343994
3668 2359 353713672
2359 55 493923945
55 2978 167708430
2978 6375 80982080
6375 266 811914305
266 543 444036733
543 4051 658898118
4051 4997 794913083
4997 8823 965032129
8823 604 667473370
604 1064 52933663
1064 4813 863693149
4813 1357 253611925
1357 3849 744637205
3849 2744 556677119
2744 6306 181451758
6306 5809 22823303
5809 6077 827249363
6077 8938 407698498
8938 1171 173091046
1171 6008 627874191
6008 4127 654893067
4127 54 279778651
54 5 231210560
5 1809 857872337
1809 595 780015063
595 9384 469084341
9384 5706 714273360
5706 5546 301060674
5546 6294 412507609
6294 4263 293133707
4263 6387 654774347
6387 7626 758947908
7626 8508 460842137
8508 709 588272781
709 6630 570862213
6630 3565 904878871
3565 9303 99687253
9303 7187 218291649
7187 777 722427353
777 2802 767160623
2802 4481 271225312
4481 1382 438636855
1382 7709 20772547
7709 9451 15862517
9451 9523 995313975
9523 4441 54740660
4441 9563 891202175
9563 631 675079691
631 2621 314955512
2621 3456 916809575
3456 5618 155470236
5618 7311 969848579
7311 6889 196588225
6889 2104 386680796
2104 7154 680237269
7154 3477 976603288
3477 5682 855765137
5682 9373 247026982
9373 3330 130180316
3330 8391 120789099
8391 3426 540160690
3426 5051 784954663
5051 2732 879737007
2732 3114 1002826
3114 7813 225743797
7813 432 303115573
432 7002 758398051
7002 2594 325431050
2594 4284 373923577
4284 2331 333341757
2331 6567 945108027
6567 2464 645148889
2464 8496 771978613
8496 7288 818396929
7288 1580 513527760
1580 5526 619808941
5526 8227 873137589
8227 7477 257246289
7477 1687 147404985
1687 8281 40609454
8281 4251 26572217
4251 2459 302875221
2459 458 10458032
458 8369 223160443
8369 2643 689556017
2643 3486 690695301
3486 1336 52280084
1336 5711 397837507
5711 7409 937722283
7409 2912 182460400
2912 2027 518626606
2027 6083 330399326
6083 8911 819931417
8911 4768 250879967
4768 4301 183918507
4301 6221 45675214
6221 3736 406511894
3736 5136 942316558
5136 9324 223622618
9324 716 780435471
716 536 128174669
536 1091 21246999
1091 4501 278100714
4501 664 752669636
664 2798 839643928
2798 4202 791628474
4202 1319 224994930
1319 8435 565297870
8435 9392 901391117
9392 8092 372399915
8092 673 605907324
673 8041 927963335
8041 8127 675275137
8127 7771 616365356
7771 1804 3640131
1804 9709 364831153
9709 1459 159577010
1459 1573 55920215
1573 7785 762668661
7785 5267 949815647
5267 2522 90896970
2522 2107 133811620
2107 3161 280214973
3161 4609 910828387
4609 5789 237207941
5789 3033 464133480
3033 6159 809019955
6159 9248 643719836
9248 2040 258966391
2040 7646 32642573
7646 8575 424155306
8575 4275 239657414
4275 8413 53889572
8413 7012 702256020
7012 9497 992327050
9497 3359 746049854
3359 7993 346400848
7993 2019 217321979
2019 3794 311347723
3794 502 100308318
502 7041 589721895
7041 5707 917255047
5707 3669 28271652
3669 6164 117513385
6164 8615 386136756
8615 511 31911783
511 1740 482344538
1740 3941 398230120
3941 284 87831999
284 8160 97529552
8160 1585 348045766
1585 1271 31245323
1271 545 83857527
545 3607 480777093
3607 5539 942073710
5539 3994 321065468
3994 9009 944910573
9009 6540 751093665
6540 7357 964785304
7357 6655 56393318
6655 8457 636252592
8457 3071 241456964
3071 9491 296050732
9491 9516 542658518
9516 8280 943712984
8280 3049 140894136
3049 9150 141224725
9150 2933 142630185
2933 5652 358216115
5652 5255 452572448
5255 2484 242938504
2484 1484 800454364
1484 5552 222343848
5552 3590 123726510
3590 1228 917967749
1228 1517 460996958
1517 1195 155638294
1195 1373 252828641
1373 8353 859227078
8353 3873 95986647
3873 5200 350358193
5200 4317 59789197
4317 5082 127231970
5082 7739 434215720
7739 5672 540566291
5672 9443 69305679
9443 5117 755281189
5117 1368 337993217
1368 9402 672915698
9402 412 572582846
412 1693 394386535
1693 7867 161684643
7867 1771 814039810
1771 521 542953622
521 76 556859515
76 3735 610269148
3735 5843 683847758
5843 9164 698084240
9164 5988 752899333
5988 3174 42063872
3174 4269 3173041
4269 483 848354191
483 4242 695034591
4242 1405 225516889
1405 2610 972080702
2610 2520 613002339
2520 6490 686513847
6490 8008 127718995
8008 2654 865830980
2654 5302 398257278
5302 1465 76221996
1465 7857 68705527
7857 566 458046476
566 8146 55970320
8146 4653 355437601
4653 2613 998612767
2613 112 125275999
112 3031 110718789
3031 4418 336605983
4418 5979 650708052
5979 4970 535817990
4970 4817 583508873
4817 1968 664909049
1968 9644 349857799
9644 4716 126462494
4716 8404 221768564
8404 8563 960126947
8563 2245 810310252
2245 1519 919852804
1519 1642 565542634
1642 3423 704890478
3423 1245 923025846
1245 8818 266413178
8818 7175 252441422
7175 9266 1059088
9266 7392 238493879
7392 9367 865443762
9367 4638 540089290
4638 3659 218729228
3659 2639 583791095
2639 1443 938346568
1443 7564 147467578
7564 6748 505012976
6748 6552 396393043
6552 4479 203437898
4479 1019 860450578
1019 1936 247522163
1936 2503 181230252
2503 6842 823685721
6842 9101 584128147
9101 5752 831938304
5752 7957 359503710
7957 2688 20153373
2688 8785 349363706
8785 4532 561877864
4532 1010 146615867
1010 5257 571132270
5257 3258 374521164
3258 7877 809442473
7877 1312 343501428
1312 2266 940063798
2266 7705 366849304
7705 3950 119043627
3950 2118 58993330
2118 1904 619290727
1904 7768 120102715
7768 638 297487209
638 7946 337250842
7946 1121 512708359
1121 233 368732792
233 9361 921041937
9361 7858 451054927
7858 1680 516200370
1680 9508 278571267
9508 2340 699964324
2340 983 719638269
983 738 139021844
738 7436 947486488
7436 874 900868521
874 2646 962707565
2646 584 384130988
584 2808 585323178
2808 7152 174727629
7152 8181 404284361
8181 552 934686884
552 641 736605493
641 818 550900228
818 6427 358335508
6427 8031 111126656
8031 941 212859054
941 8012 701836936
8012 1516 903706809
1516 1544 579708358
1544 8614 673396917
8614 7524 962700139
7524 9306 198999084
9306 7309 646015986
7309 32 112703701
32 2334 536249926
2334 49 158724345
49 7485 481436493
7485 4566 309808217
4566 1509 462295626
1509 2664 997636864
2664 3389 588379484
3389 4094 162259949
4094 6867 569791486
6867 1062 579917682
1062 2913 109746436
2913 5312 470660006
5312 8982 395141600
8982 5164 346393778
5164 6163 55983183
6163 3366 569869229
3366 8617 750678139
8617 547 843186421
547 4254 158991075
4254 6763 154094720
6763 1931 201521928
1931 8916 122634086
8916 4406 366953774
4406 8327 755875218
8327 4531 878857249
4531 1983 946662133
1983 2597 429272134
2597 4182 694073741
4182 2608 145661216
2608 3621 75288120
3621 5413 806777442
5413 892 534427497
892 397 86528819
397 1311 140730289
1311 5793 696752068
5793 522 548824445
522 6386 990883507
6386 338 137647905
338 1660 563600748
1660 7216 560674992
7216 8603 717565587
8603 3656 525863539
3656 3594 883851352
3594 1472 112707186
1472 3537 872257317
3537 8528 792350889
8528 7979 535092770
7979 3155 622935456
3155 2566 635537309
2566 6832 694083845
6832 9550 777030176
9550 4336 689575592
4336 2729 669234285
2729 3447 143983950
3447 9137 445450809
9137 6261 548091533
6261 6053 943162437
6053 3820 727239298
3820 4207 94681627
4207 7989 941340007
7989 4126 655043772
4126 620 901459070
620 1897 328283857
1897 6075 741572591
6075 6759 894705713
6759 7315 25035924
7315 6019 142913389
6019 2337 885589219
2337 6675 162683829
6675 9647 706514137
9647 182 298780564
182 281 880249416
281 8385 84894029
8385 2611 35148269
2611 37 845472957
37 5423 957151347
5423 6601 827499158
6601 1423 380565726
1423 3080 432603156
3080 341 315552820
341 3627 927165925
3627 242 62149685
242 4664 5128411
4664 5249 596400210
5249 7620 58649989
7620 356 303095575
356 1020 997008097
1020 4221 1812425
4221 6450 30334872
6450 2480 91689724
2480 3333 943152433
3333 8130 685378644
8130 5350 845665148
5350 2513 123952643
2513 2011 279467588
2011 4331 740370860
4331 8907 148988568
8907 1202 274897331
1202 9038 478476432
9038 4123 164188751
4123 5102 981411468
5102 2009 629773350
2009 1252 44438167
1252 6274 66305497
6274 3970 664921619
3970 970 742427478
970 8737 875973198
8737 3619 492420776
3619 4265 122993203
4265 3677 308576353
3677 8378 807973596
8378 9650 902675482
9650 8815 370726038
8815 1951 665618362
1951 3111 351592045
3111 5866 429376028
5866 3079 968713937
3079 7171 348600142
7171 5262 283704807
5262 6312 999048809
6312 1114 292806220
1114 8628 79373593
8628 3381 536943806
3381 1645 138471367
1645 6406 203326237
6406 7108 668927748
7108 7915 731358581
7915 4819 352314805
4819 7358 943825079
7358 7018 62351366
7018 5994 516503556
5994 3842 777752900
3842 191 692124716
191 2891 413458077
2891 6879 696574751
6879 1565 357046334
1565 904 8401908
904 2737 572547948
2737 4829 701983464
4829 5230 131395111
5230 7815 733640655
7815 7013 362473413
7013 7316 886586948
7316 2273 104366693
2273 9396 28091774
9396 5072 238178992
5072 858 386259075
858 9282 996805711
9282 2088 439295488
2088 6950 669963882
6950 4581 848370873
4581 8905 732101708
8905 8325 749337476
8325 6405 237831032
6405 8057 870573075
8057 4421 952663713
4421 8346 906758780
8346 790 454448009
790 5805 157494871
5805 6068 703100212
6068 5487 516799375
5487 559 526514781
559 4660 480853112
4660 7755 208924090
7755 7447 939972859
7447 7290 29944216
7290 4967 418486778
4967 8189 948374767
8189 6519 602492165
6519 3936 120470241
3936 5558 932286233
5558 9561 188649173
9561 1755 482943655
1755 5573 671389534
5573 4583 145532220
4583 8470 363551783
8470 6382 909568526
6382 7692 531791295
7692 2141 212873848
2141 2389 201380368
2389 2659 54271531
2659 6064 61244720
6064 8787 933482076
8787 4069 656125361
4069 8062 151592107
8062 8625 656571505
8625 6385 461305427
6385 6076 910867241
6076 9323 111019513
9323 1966 618800298
