10
4953 5993
1 3107 657137192
3107 3514 666916562
3514 4650 294957966
4650 2490 94583806
2490 3862 112253132
3862 736 612400555
736 3481 769613637
3481 4410 202963879
4410 860 890634194
860 1751 793316750
1751 632 131768864
632 3389 293144313
3389 769 438006444
769 3898 543418893
3898 3361 222013747
3361 4044 47648082
4044 2161 347177497
2161 2067 847387106
2067 3263 241452145
3263 4373 70358009
4373 4213 23596746
4213 1382 31776753
1382 392 15832094
392 1420 565711799
1420 1225 68501880
1225 871 164376334
871 2505 448390682
2505 3590 521992981
3590 3906 27682646
3906 4657 457743020
4657 90 82963700
90 396 684819839
396 2619 124659582
2619 4153 377921666
4153 2462 779403645
2462 1860 89429068
1860 4861 990322221
4861 4729 401533635
4729 4308 144909301
4308 3586 733472768
3586 4630 47366738
4630 2032 276678165
2032 2274 26617081
2274 2801 485373183
2801 3123 820097058
3123 3756 248630828
3756 2787 533021265
2787 3847 19790908
3847 4243 948534288
4243 2272 626989764
2272 2361 90148918
2361 1755 972131035
1755 518 658766517
518 166 958497367
166 620 390359187
620 1837 579784751
1837 3128 122873700
3128 626 838749869
626 2206 101777731
2206 3035 150556346
3035 3947 296492888
3947 304 184741432
304 4552 687892539
4552 2594 273668824
2594 2447 562663098
2447 3021 319812538
3021 3839 215614246
3839 3588 405501673
3588 3135 721346173
3135 2325 213039901
2325 4116 138974440
4116 4588 768712912
4588 4144 489718066
4144 4366 18107875
4366 3721 106602448
3721 3946 162331478
3946 3022 266738703
3022 2948 639623713
2948 6 34638740
6 1833 67789345
1833 3018 119129830
3018 190 124787658
190 1079 39920379
1079 3975 777896347
3975 4870 935801379
4870 4055 430279566
4055 1404 357681097
1404 1285 58675078
1285 2969 121545788
2969 604 311975183
604 1838 61747779
1838 1047 418038676
1047 4695 496716615
4695 2577 749640318
2577 78 544223855
78 2677 911896067
2677 1932 69452855
1932 781 759838101
781 3806 317397739
3806 3395 643315383
3395 435 972878003
435 3567 308888534
3567 1916 412028294
1916 2192 315112422
2192 3339 326996409
3339 1454 518630742
1454 3250 329960254
3250 4077 593735113
4077 631 10770808
631 521 364598995
521 2764 661524458
2764 4859 129900638
4859 1282 341903007
1282 4417 553961191
4417 3930 907796985
3930 3164 277704386
3164 1579 984240757
1579 3225 117994435
3225 2466 188895818
2466 2798 105786544
2798 789 429969618
789 4450 103159951
4450 2397 376341574
2397 1091 779202587
1091 4704 852800270
4704 3540 920565429
3540 4824 691098654
4824 2990 774769479
2990 4793 532919884
4793 2128 861012747
2128 1867 270601215
1867 2955 358314240
2955 3779 169901280
3779 3006 682629509
3006 4088 525943016
4088 725 496897690
725 2829 53776604
2829 2244 855903271
2244 4363 943149157
4363 3807 64547412
3807 4544 220502265
4544 2282 457189968
2282 2572 46964404
2572 2492 562405272
2492 2077 11151158
2077 381 807277743
381 4146 692626012
4146 1335 847908269
1335 2259 925272179
2259 317 881521831
317 4392 806211167
4392 338 207758150
338 3917 984681782
3917 1667 35069094
1667 202 986960738
202 1148 689998405
1148 1379 955634524
1379 970 530575745
970 4869 317284238
4869 266 341070761
266 4165 244104845
4165 2357 587885453
2357 4211 551901355
4211 894 414006126
894 2811 123031316
2811 2544 77844370
2544 3420 763420170
3420 4675 29324274
4675 470 933747641
470 4460 706569326
4460 4640 93871687
4640 4406 6766259
4406 4220 16275647
4220 3274 993352446
3274 1461 421687886
1461 1530 27426805
1530 2596 800630189
2596 3706 114313897
3706 3638 875335074
3638 1671 578418721
1671 1723 848352082
1723 4576 534062594
4576 1278 638693225
1278 3500 685550218
3500 652 569131688
652 336 478170316
336 1032 228064976
1032 2085 377282565
2085 309 8746060
309 1308 545349214
1308 4321 718353326
4321 1628 105367260
1628 4277 985751022
4277 4938 122771034
4938 476 519373386
476 394 108782337
394 929 200615405
929 2211 135309909
2211 3685 138106611
3685 2992 986879400
2992 3336 841879235
3336 938 84494652
938 2746 993645660
2746 4594 858154882
4594 1947 930363453
1947 3148 267849899
3148 590 738098041
590 4313 583509995
4313 4635 382163796
4635 1468 465949468
1468 4248 14445069
4248 4472 83032232
4472 2690 12061
2690 609 653138294
609 1341 768582450
1341 214 569143749
214 4414 131308610
4414 2949 996647426
2949 2879 946426315
2879 3030 992571025
3030 3257 394512994
3257 333 517295994
333 749 97938284
749 3360 380264015
3360 3163 640067029
3163 229 469828024
229 3931 341562706
3931 2657 693198788
2657 907 605137933
907 2349 332185671
2349 2158 680078187
2158 1963 299533521
1963 1551 269196678
1551 3982 526240200
3982 95 10204756
95 1538 52076484
1538 3197 794090099
3197 1446 748302797
1446 3874 635586479
3874 2792 28770249
2792 3775 214252264
3775 2907 650031548
2907 447 111802481
447 3826 66780679
3826 935 303169841
935 3214 880384931
3214 3873 635924429
3873 3837 286994805
