10
5783 5782
1 2353 662766570
2353 874 200966559
874 4013 554381190
4013 2798 315707931
2798 109 247321728
109 1556 30275657
1556 3366 20425711
3366 798 705730593
798 2565 715036288
2565 1632 912948437
1632 399 267025123
399 4290 122377067
4290 2079 127106575
2079 68 996836736
68 3075 774318988
3075 1793 496870904
1793 3419 81007218
3419 878 637483527
878 4730 479141168
4730 5637 873959354
5637 800 874789773
800 5399 8698752
5399 2847 778396586
2847 5035 61151348
5035 5747 383629911
5747 758 237202387
758 3824 48733487
3824 3677 930441248
3677 2526 621492458
2526 5451 838056235
5451 2688 110970554
2688 630 136775381
630 1527 39022793
1527 5541 517868098
5541 5767 452483313
5767 4064 286344521
4064 5608 400660109
5608 107 472909024
107 671 844591468
671 1449 115696396
1449 5296 238373814
5296 4128 111616591
4128 482 90589817
482 133 217996744
133 3380 960969681
3380 3989 864908805
3989 5532 567384002
5532 42 41976898
42 2280 502392331
2280 2582 46525169
2582 5670 768452606
5670 3659 229698457
3659 2319 55223922
2319 2226 399365545
2226 4523 143366160
4523 3932 291370187
3932 377 489084286
377 2664 44616001
2664 5142 221811434
5142 1870 110576743
1870 1856 882672236
1856 4778 185298342
4778 2160 99868479
2160 1785 774211383
1785 1848 703166440
1848 362 404868146
362 5368 60555904
5368 69 103826548
69 5041 877777170
5041 1140 757663726
1140 1787 72039298
1787 5237 968667339
5237 2337 721796671
2337 202 162629115
202 3102 39180436
3102 1179 535282705
1179 2569 27537919
2569 3014 606564438
3014 5406 429775957
5406 765 382446605
765 4746 653089608
4746 1734 50744916
1734 1602 612145062
1602 3044 560829884
3044 1483 450110462
1483 1044 608027576
1044 2043 852200071
2043 1757 939194748
1757 3532 652643577
3532 2151 926527859
2151 5360 902287846
5360 1616 387832166
1616 3142 111826200
3142 2448 854672679
2448 4885 14559903
4885 1518 814992640
1518 695 259540824
695 1204 75115807
1204 2613 771335542
2613 4550 989834348
4550 2761 685295887
2761 4432 843374840
4432 3146 958501686
3146 1315 407092558
1315 3004 6003954
3004 2586 997682122
2586 5677 942375263
5677 3441 33541873
3441 4533 456762914
4533 766 224667574
766 1108 268504832
1108 4173 109852521
4173 3235 275412490
3235 2245 880649895
2245 1545 523198759
1545 1565 725522952
1565 4745 341193824
4745 5119 227915183
5119 3937 517234054
3937 4251 993837402
4251 1647 6959395
1647 5583 272038253
5583 858 234185921
858 3429 118785595
3429 3580 126710931
3580 3808 248745824
3808 5138 786294589
5138 2964 238768109
2964 5322 176377985
5322 4758 557630130
4758 2285 81118810
2285 100 861673873
100 576 253521323
576 2091 39620496
2091 1443 121282784
1443 5316 259525277
5316 4855 889818972
4855 4852 916174401
4852 3571 145583504
3571 5002 199098239
5002 410 140841974
410 2258 414088337
2258 922 161467114
922 5026 416254465
5026 1862 147254585
1862 3185 684665873
3185 1874 994293771
1874 2485 488448409
2485 1653 765097410
1653 4717 364044178
4717 4847 334802164
4847 4190 772056805
4190 5364 636082431
5364 4470 421504440
4470 376 890842400
376 5413 615309716
5413 4242 670250264
4242 5191 529653342
5191 2863 706594179
2863 3395 699144604
3395 2057 87283471
2057 2628 787712990
2628 2189 413334830
2189 622 193321148
622 4152 679849840
4152 4944 534617614
4944 2504 452846425
2504 5563 422185165
5563 3296 303308368
3296 3421 450946284
3421 5332 621283405
5332 2922 444150343
2922 16 865034621
16 5128 782750519
5128 503 712921162
503 1894 864805560
1894 2609 319932746
2609 771 707214932
771 286 205770322
286 3313 85030155
3313 1692 71259110
1692 2495 540572487
2495 1343 857086961
1343 2529 559857895
2529 527 962076927
527 2741 600445714
2741 2538 27683965
2538 4181 484843544
4181 2068 130099056
2068 4358 734278144
4358 3433 36504501
3433 4627 69898881
4627 1233 374507487
1233 723 449839331
723 3777 115736384
3777 742 54357326
742 4929 984456945
4929 3753 568582809
3753 31 476542492
31 1525 140281667
1525 1579 19529092
1579 1707 97825896
1707 5080 584432010
5080 193 737080067
193 4964 733092769
4964 4014 149869525
4014 1241 454401980
1241 2180 53025514
2180 4908 857084457
4908 759 660172303
759 3848 138055670
3848 2531 780859921
2531 2131 53261143
2131 2903 847658985
2903 1520 193234170
1520 2354 15338069
2354 3282 300621052
3282 3991 73434489
3991 667 352697967
667 4948 283236462
4948 4702 807712633
4702 2594 389202469
2594 4848 205651698
4848 4832 34736474
4832 808 839041800
808 4514 321388082
4514 4305 89093800
4305 1024 676015099
1024 3049 742487245
3049 5210 418152646
5210 4978 816296766
4978 2256 614532692
2256 4525 368494896
4525 3581 253245129
3581 5445 204129112
5445 972 101587665
972 3771 403114654
3771 991 658531093
991 2913 7129533
2913 5782 112715464
5782 5424 318703395
5424 1702 145185203
1702 2411 746091740
2411 2076 371964538
2076 151 845360542
151 3364 939325910
3364 3945 239818961
3945 4422 998497949
4422 4959 12760398
4959 5623 445033282
5623 533 134250764
533 1519 672989385
1519 3800 834235751
3800 3558 339902462
3558 4169 707725859
4169 253 525793905
253 2478 513806898
2478 3244 649336014
3244 98 54325357
98 2497 256294143
2497 1583 67488659
1583 2771 723138477
2771 5220 870826835
5220 5651 435983556
5651 1032 976383606
1032 1494 74955946
1494 3873 390087575
3873 1578 232014613
1578 4546 586003393
4546 2969 397217108
2969 1280 197246431
1280 3953 904706788
3953 1444 394918666
1444 1539 943338171
1539 3785 129187679
3785 4461 92795561
4461 3518 735180434
3518 5334 221522994
5334 1679 91293509
1679 1824 600457186
1824 4214 666556277
4214 3648 225544274
3648 5025 125962925
5025 574 353308381
574 4345 417963090
4345 1983 833688784
1983 1007 879102286
1007 5173 931769989
